gaa_region,suc_main,number_of_students,number_of_faculty,faculty_student_ratio
Ilocos Region,Don Mariano Marcos Memorial State University,"15,289",688,22.22
Ilocos Region,Ilocos Sur Polytechnic State College,"5,659",235,24.08
Ilocos Region,Mariano Marcos State University,"10,685",522,20.47
Ilocos Region,North Luzon Philippines State College,"2,548",93,27.40
Ilocos Region,Pangasinan State University,"22,077",757,29.16
Ilocos Region,University of Northern Philippines,"11,100",519,21.39
Cagayan Valley,Batanes State College,329,43,7.65
Cagayan Valley,Cagayan State University,"37,572","1,300",28.90
Cagayan Valley,Isabela State University,"29,552",883,33.47
Cagayan Valley,Nueva Vizcaya State University,"9,187",390,23.56
Cagayan Valley,Quirino State University,"3,999",201,19.90
Central Luzon,Aurora State College of Technology,"1,939",113,17.16
Central Luzon,Bataan Peninsula State University,"14,661",496,29.56
Central Luzon,Bulacan Agricultural State College,"3,495",142,24.61
Central Luzon,Bulacan State University,"48,574","1,119",43.41
Central Luzon,Central Luzon State University,"10,863",494,21.99
Central Luzon,Don Honorio Ventura Technological State University,"18,866",403,46.81
Central Luzon,Nueva Ecija University of Science and Technology,"32,901",482,68.26
Central Luzon,Pampanga State Agricultural University,"5,534",210,26.35
Central Luzon,Philippine Merchant Marine Academy,929,82,11.33
Central Luzon,Ramon Magsaysay Technological University,"8,508",423,20.11
Central Luzon,Tarlac Agricultural University,"4,093",164,24.96
Central Luzon,Tarlac State University,"16,755",415,40.37
CALABARZON,Batangas State University,"35,150",896,39.23
CALABARZON,Cavite State University,"37,265","1,127",33.07
CALABARZON,Laguna State Polytechnic University,"24,970",811,30.79
CALABARZON,Southern Luzon State University,"14,541",497,29.26
CALABARZON,University of Rizal System,"20,612",688,29.96
Bicol Region,Bicol State College of Applied Sciences and Technology,"4,924",172,28.63
Bicol Region,Bicol University,"21,872",994,22.00
Bicol Region,Camarines Norte State College,"6,178",234,26.40
Bicol Region,Camarines Sur Polytechnic College,"4,335",190,22.82
Bicol Region,Catanduanes State University,"7,619",309,24.66
Bicol Region,Central Bicol State University of Agriculture,"10,314",426,24.21
Bicol Region,"Dr. Emilio B. Espinosa, Sr. Memorial State College of Agriculture and Technology","4,659",162,28.76
Bicol Region,Partido State University,"7,095",354,20.04
Bicol Region,Sorsogon State College,"7,864",276,28.49
Western Visayas,Aklan State University,"8,063",349,23.10
Western Visayas,Capiz State University,"12,918",533,24.24
Western Visayas,Guimaras State College,"2,980",175,17.03
Western Visayas,Iloilo Science and Technology University,"12,836",485,26.47
Western Visayas,Iloilo State College of Fisheries,"4,738",228,20.78
Western Visayas,Northern Iloilo Polytechnic State College,"9,006",371,24.27
Western Visayas,University of Antique,"10,389",407,25.53
Western Visayas,West Visayas State University,"17,913",920,19.47
Central Visayas,Bohol Island State University,"15,684",523,29.99
Central Visayas,Cebu Normal University,"9,225",272,33.92
Central Visayas,Cebu Technological University,"38,070","1,389",27.41
Central Visayas,Siquijor State College,"1,999",56,35.70
Eastern Visayas,Eastern Samar State University,"13,430",513,26.18
Eastern Visayas,Eastern Visayas State University,"18,227",644,28.30
Eastern Visayas,Leyte Normal University,"6,364",239,26.63
Eastern Visayas,Naval State University,"6,949",322,21.58
Eastern Visayas,Northwest Samar State University,"8,860",285,31.09
Eastern Visayas,Palompon Institute of Technology,"4,278",209,20.47
Eastern Visayas,Samar State University,"7,356",296,24.85
Eastern Visayas,Southern Leyte State University,"9,513",352,27.03
Eastern Visayas,University of Eastern Philippines,"13,465",552,24.39
Eastern Visayas,Visayas State University,"12,526",555,22.57
